index,user,title,content,comment,link,date,veiw,rate
31808672,ㅇㅇ#18955490,기계수집가 성능 궁금한 사람 있음?,건 기준으로 쓸만함필수급은 아니지만 충분히 채용가능한 수준,"[{'user': '카챈용계정', 'comment': '어느 조합에 끼워넣어도 쓸만한거?'}, {'user': 'ㅇㅇ#18955490', 'comment': '기본적으로 요즘 메타가 각성디펜더 메타인데\n이볼브원 상대로든 공익 상대로든 다 무난함\n근데 니가와보다는 러쉬에서 괜찮은 듯'}, {'user': '카챈용계정', 'comment': '한번 키워서 써봐야겠네 ㄳㄳ'}]",https://arca.live/b/counterside/31808672,2021-08-11T15:42:34.000Z,125,1
31807198,모닝빵으유#58778061,원래 기계수집가는 벌 안보이는거 보면 ㄹㅇ 혼란 아니었을까,벌 같은거 던져서 맞은 메카 혼란으로 뺏는거였는데 에이미 지랄나서 컨셉 급히 변경한게 아닐까?그렇지않고선 그 벌 같은게 더미데이터가 되어버릴 이유가 없잖아 ㅋㅋ 몇몇 캐릭 마냥 pve하고 pvp효과 다르게 해서 내줬으면 좋았을텐데 조금 아쉬움.pve에서 로조한테 혼란걸어서 다이브 부수는 기순이를 보고싶었음..에이미 혼란으로 지랄난건 그냥 노리스크로 다 뺏들어가는것도 있지만 얘가 스토리에서 능력 나온것도 없이 암튼 실로 땡겨서 조종하는거임 ㅇㅇ  이지랄 하니까 불탄것도 있잖냐스토리 고증으로 시그마 내면 아군 메카닉 혼란 풀리게 하면 뽕도 찻을거 같고근데 이건 건틀렛에서 하면 시그마는 공익한테 강제봉인당하니까 메카만 죽어버리는 효과였겠네..,[],https://arca.live/b/counterside/31807198,2021-08-11T15:20:26.000Z,174,2
31806964,DButton,8월 11일 10시 30분 in100 유닛 채용률,특이한 사항 정리 건 안돌린 유저 3명 제외(전날 12명)총 97명에 대한 조사였음함선레이크 26알비온 23카미 19코핀6 9마타도르 8뉴오하 4아머 3엔터 2뉴디트 2항모 1전날 대비 변화알비온 24->23카미 23->19레이크 17->26코핀6 8->9마타도르 7->8아머 5->3엔터 2->2뉴디트 1->2뉴오하 1->4항모 new 1오퍼시그마 45박정자 38김하나 5나희린 3멘션 마스터 3이수연 2레나 1전날 대비 변화시그마 43->45박정자 32->38김하나 6->5멘션 마스터 3->3이수연 2->2나희린 1->3레나 1->1유닛 73 모네65 미니스트라49 하랍46 이유리45 구관총37 각유빈36 넬슨34 강소영34 구관검29 각수연27 강민우26 옌싱24 이유미20 퀸18 나이엘18 아르티15 글리치13 스카이13 최지훈12 릴리11 각유나11 이볼브원10 우드픽커8 베로니카8 비숍8 류드밀라8 야누스7 리타7 스패로우7 킹5 기계수집가5 나이트5 스카우트5 브라우니4 알렉스3 세라펠3 무반동 포병2 치후유2 레지나2 오버플로2 토미 더 다이하드2 제인 도우2 로자리아1 스팅어 대공포병1 론 리1 라이노1 썬더볼트1 아이언사이드1 시그마1 주시영1 어설트트루퍼1 루미1 각성유미나1 치나츠1 각힐1 신지아1 일반서윤1 솔전날 대비 각성 유닛 변화미니스트라 63->65각유빈 31->37퀸 19->20각유나 11->11이볼브원 11->11킹 1->7각힐 2->1각등이 2->1,[],https://arca.live/b/counterside/31806964,2021-08-11T15:16:41.000Z,957,16
31805057,ㅇㅇ#39687632,응애 4각산사람 질문좀 ㅠ,기계 머시기 뽑앗고 좋은거냐 이가 선택권은 누구뽑아?,"[{'user': 'ㅇㅇ#39687632', 'comment': '그리고 누구키워여해?'}, {'user': '암왕제군', 'comment': '없는 게 너무 많으니까 일단 존버해놔 당장 필요한 거도 없네'}, {'user': 'ㅇㅇ#39687632', 'comment': '각힐더 각유나 누구뽑아?'}, {'user': '암왕제군', 'comment': '펜릴 선택권 지금 당장 추천되는 건 각힐인데 이거도 걍 존버해놔 초고층 다이브에서나 필요한데 거기까지 시간이 꽤 걸리고 그 동안 어떻게 바뀔지 모름'}, {'user': '흐물흐물두부처럼말해요', 'comment': '펜릴 소대 각성 사원 영입권 말하는 거면 각성 디펜더가 없으니까 각힐이 좋아보이긴한데 당장 필요한 거 아니면 존버 추천'}, {'user': 'ㅇㅇ#79729761', 'comment': '에델?'}, {'user': 'ㅣlㅣlㅣlㅣ', 'comment': '선택권은 미보유 체크하고 보여줘'}, {'user': '하랍픽업좀', 'comment': '선택권은 일단 다음주 150뽑 라인업 뽑을때까지 존버\n추천서는 다 받아도 됨 그건 랜덤이라'}, {'user': '암왕제군', 'comment': '육성은 미니스트라 세라펠 각서윤 + 힐러 키우면 끝까지 다 밀거임'}, {'user': 'ㅇㅇ#39687632', 'comment': '선별뽑잇던데 누구가져갈가 존버해?'}, {'user': '암왕제군', 'comment': '치후유 없으면 치후유 받고 치후유 있으면 카일 받고 카일도 있으면 샤오린'}]",https://arca.live/b/counterside/31805057,2021-08-11T14:48:23.000Z,111,1
31803449,역시난,너희들은 기계야 기계,밥먹고똥싸고육수만 흘릴 줄 아는철 깡통,[],https://arca.live/b/counterside/31803449,2021-08-11T14:24:14.000Z,62,0
31802406,토깡이,기순이 어캄,애하나쯤 낳아야뽑은 값어치 겨우할듯,[],https://arca.live/b/counterside/31802406,2021-08-11T14:08:57.000Z,46,0
31802361,서리별2#59547846,기순이는 장비 머쓰는게 나을까여?,스탯 쌓는거 때문에 공속도 괜찮을거 같은데 ,"[{'user': '소나기나기', 'comment': '공속 부옵 스충'}]",https://arca.live/b/counterside/31802361,2021-08-11T14:08:25.000Z,57,0
31799836,네모현#32744865,ㄹㅇ 기계수집가는 다 꼴리는데,얘 말할때 입 안움직이는거 좀 고쳐주지 제발;,,https://arca.live/b/counterside/31799836,2021-08-11T13:32:29.000Z,71,0
31798833,MBT,근데 기순이는 ㄹㅇ 카사에서 이질감 제일 심한듯,다른 외주캐릭들만 주위에 놔도 비교되네거의 과거 턱주돈이 점령한 세상에서나 어울릴 정도임,"[{'user': '네모현#32744865', 'comment': '얘 말할때 입 안 움직이는거 너무 불편함;'}, {'user': '달고나좋아', 'comment': '흑주돈이 그린것것도 아닌것 같은데 에델하고 레지나 느낌이 아님'}, {'user': '독호메', 'comment': '색감때문에 이질감이 더하듯'}, {'user': '세인트케인', 'comment': '색감때문에 이질감 더 심한거같음'}]",https://arca.live/b/counterside/31798833,2021-08-11T13:16:41.000Z,137,0
31797336,마에스트로,투표받은 당신의 여신 - 실비아 편,"https://arca.live/b/counterside/31704307 에서 이어짐니다..........................................................................................""아, 투표가 완료 됐군요! 여신님은 이분입니다!""사회자가 들고 있는 쪽지에 모든 사람의 시선이 집중 됐다.실비아도 마찬가지였다. 그녀를 우습게 본 학과생들의 코를 납작하게 만들 기회였기에, 손에 땀을 쥐고 발표를 기다렸다.""어디 내놔도 부끄럽지 않을, 화사한 핑크머리 여신님!""이제 후보는 두명이다, 공과대학에 있을거라 전혀 예상치 못한인싸 타입의 강적, 그녀도 핑크머리였으니까. 다만 너무 인싸력이높아 표가 그쪽으로 가지 않았을 확률도 분명히 있다..!""축하합니다, 컴퓨터공학과 여신, 실비아 레나 쿠퍼 양!""""만세!""실비아가 펄쩍 뛰었고 컴공과 학생들도 모두 우레와 같은 환호성과박수를 보냈다. 실비아는 사회자에게 상금과 상품을 수여받으며의기양양한 미소를 지었다. 봤냐, 너드들아! 이게 파티퀸, 아니여신님 실비아의 힘이다!""에헴, 짜식들아, 봤지?""""네가 컴공과의 자랑이다!""""햇반가져왔는데 머리한번만 다시 묶어줄 수 있어?""""우욱, 토나온다... 그러지 말아줘...""그들이 시덥잖은 얘기를 나누며 도착한 곳은 단골 술집이었다.실비아는 실망한 표정이었다.""에이, 모처럼 상금도 많이 받았는데 좀 더좋은 데 가자, 고급칵테일 바라던가..""""이 상금으로 슈퍼컴퓨터 사자고 한건 너였잖아, 실비아.""""그건 그랬지.. 그래. 그냥 진탕 마시고 놀자!""***실비아는 잘 취하는 여자였다. 고급칵테일? 와인? 다 필요없었다.어차피 그녀에겐 한 잔만 들어가면 다 똑같았으니까. 그리고맥주 한잔을 마신 그녀는 이미.. 귀여워져 있었다.""이히히, 나 이뻤지이, 애들아?""""실비아 대단하다, 진짜 한잔만 마시니까 애교쩔어져.""""근데 렌즈끼고 하는 애교는 파괴력이 다르네.""""실비아, 햇반 식기전에 머리 한번만 더 묶어줘.""""쥬아! 잘 봐랏!""컴공과는 애초에 자기들만의 세상에 사는 사람들이 많았기에, 뒷풀이 참석한 사람들도 실비아를 포함한 4명 뿐이었다.""하여간 단체행동 안 되는 것들 같으니라고.""""냅뒁, 집에가서 야한 게임이라도 하겠지잉..""""왜 굳이 야한 게임으로 단정 지으시죠? 불쾌합니다 실비아 양. 컴덕후라고 다 똑같지 않거든요?""""에엥? 너넨 야한 겜 안해? 나는 하는데에..""꿀꺽.실비아를 제외한 세명의 남자들은 뭔가 감을 느꼈다.""어, 어떤 게임..?""""야한 게임..""""그러니까 어떤거?""""남자가 여자랑 섹스하는 게임!""한껏 귀여워진 여신님이 취해서 흐트러진 모습과, 헐렁한 옷으로감춰져 있어 미처 몰랐던 볼륨감, 그녀도 그들같이 야한 것에 관심이 있다는 사실을 알게 된 남자들은 못된 생각이 뭉게뭉게피어오르기 시작했다. 일단 한 잔 더 가득 채우고.""이히히, 여신되니까 좋네에~ 이렇게 알아서 술도 채워주고!""우리도 네가 우리과라 좋아.아마 남자 셋은 그렇게 생각하고 있었으리라.""너네에 그동안 나 무시해찌? 내가 이정도다 이마리야~""""큭, 너무 귀엽다!""실수로 속마음을 말한 해리는 당황스러움에 입을 틀어막았다.""호에에.. 나 귀여워?""취한 실비아는 정말이지, 정말이지 귀여웠다. 잭은 실비아의잔에 한 잔 더 가득 따랐다. 실비아는 헤실헤실 웃으며 안주를집어먹었다. ""그, 그래서 어쨌든 실비아도 야한 게임을 하는구나..""실비아는 앞에 놓인 술잔을 들고 벌컥벌컥 마셨다.""야! 당연하지 나도 섹스해보고 싶다고오!""또 한잔 가득 채우는 찰스, 질세라 들이키는 실비아.""우리도 마침 해보고 싶은데.. 섹스.""""어? 그래애? 우웅.. 그러면..""실비아는 잠시 망설이더니 홍조를 띄우고 고개를 끄덕였다.됐다, 됐다! 술의 신 디오니소스여 감사합니다!컴공과에서 비교적 덜 너드인 덕분에 여신과 동침할 기회를 잡은남자 셋은 속으로 쾌재를 부르며 헤롱거리는 실비아를 부축해해리의 자취방으로 데려갔다.****""야 왜이렇게 더러워! 좀 치우고 살아라.""""미안.. 하다.. 오늘 누가 올줄 몰랐지..""혹여 분위기가 깨질까 전전긍긍하는 남자 셋과 달리 컴공여신실비아는 개의치 않은 표정이었다. 사실 그녀의 방이 이것보다 낫다고 하기 힘든 까닭이었다. 네 사람은 건배 후 맥주를 들이켰다. 취기에 의존하지 않고서는급전개된 이 시츄에이션을 이어나갈 자신이 없었기 때문이다.그럼에도 다들 눈치만 보며 머뭇거리고 있자, 실비아가 좀 더 용기를 냈다. 그만큼 섹스에 흥미가 있기도 했고.""아아, 술들어가니까 덥네에..""실비아가 옷을 하나하나 벗어내리며 은근한 시선을 보냈고,겁쟁이 남자들도 그제서야 옷을 벗으며 분위기를 조성했다.뽀얀 피부의 젖가슴에 체리빛 젖꼭지는 탐스럽기 그지없었고,해리는 본능에 이끌려 냅다 빨아대기 시작했다.""꺄앗?!""당황한, 그러나 기대했던 실비아의 교성이 들리자 찰스는 반대쪽젖꼭지를 입에 물었다. 조금 더 망설인 탓에 젖꼭지를 놓친 잭은 우물쭈물하다가 핑크빛 수풀에 감춰진 실비아의 꽃잎에 얼굴을들이밀었다.""히익?""훅 끼쳐오는 따끈한 숨결이 성기에 닿자 실비아는 깜짝 놀라 신음을 내뱉었다. 여지껏 타인에게 허락지 않았던 이곳저곳을빨리고 만져지고 관찰당하자, 실감이 되며 흥분감이 고조되었다.첫경험이 남자 3명과 함께라니.. 이런거 잘나가는애들이나 하는거 아니었냐구. 실비아는 배시시 웃었다.바지를 벗은 세 남자의 자지는 모두 불끈불끈 치솟아 있었고 실물로는 처음 본 실비아가 얼어 붙었을 때 제멋대로 자지를 그녀의 얼굴, 가슴, 겨드랑이에 비비기시작했다.""으악! 뜨거워!""실비아가 얼굴을 찌푸리자 맘약한 너드들은 동작을 멈췄다.""내, 냄새나?""""으, 좋은 냄새는 아니지만.. 뭔가.. 야한 기분이 들게하는 냄새..계속해도 싫지는 않아.. 이런거 내 입으로 말하게 하지 마!""부끄러워 하는 여신님을 보는 세남자의 시선은 숭배에 가까웠고영원히 그녀를 따를 것이라고 맹세하고 있는 그들이었다.""실비아, 여기 적당히 젖은 것 같은데 슬슬 넣어도 될까?""""그, 그런거 일일이 물어보지 말라고 너드[검열]야!""실비아도 경험이 없긴 매한가지였기에 리드해주는 남자와 첫경험을 갖길 바라왔지만 이렇게 된거, 야한 게임과 영상, 만화로배운 모든 지식을 총동원하기로 마음 먹었으나, 네명의 컴공대생모두 코딩이 안 된 것처럼 정지하여 서로의 눈치만 보고 있었다.""아프지 않게 해줘..?""늘 왈가닥같던 실비아의 연약한 모습에 이성을 잃은 해리가 그대로실비아의 보지에 진격, 몇번 애먼 곳을 겨누는 바람에 미끄러져 나왔지만 수차례 시도 끝에 옳은 구멍을 비집어 여는 데 성공했다.술에 취해있었고, 충분히 젖어 풀려있었지만 처녀상실의 고통은자비가 없었고 실비아는 눈물을 찔끔 흘리고 말았다.""오,오오.. 극락이다.. 극락..""""야, 왜 안움직여? 얼른 하고 교대해줘야지!""안절부절하는 다른 두 남자와는 다르게 해리는 넣은 자세 그대로움직이지 않았다. 처음으로 남성의 자지를 받아들인 실비아의처녀보지가 너무 빡빡하고 쫀득해서 조금만 움직여도 그대로싸버릴 것만 같았기 때문이다. 그런 속사정을 아는지 모르는지울상의 실비아는 더욱 세게 보지를 조여올 뿐이었고 이내 그는첫 섹스를(움직여보지도 못한 것을 섹스라고 부를수 있다면)질내사정으로 마무리하고 말았다.""악! 해리 이 자식 안에 쌌어!""""이 개자식이..""실비아는 잭과 찰스가 자신을 걱정해주는 것 같아 흐뭇해졌고 그들을 사랑으로 보듬고 싶어져 미소를 지었다.""괜찮아, 나 오늘 안전한 날이거든.""그들은 이후에 찝찝할 것 같아서 욕지거리를 내뱉은 것 뿐이었지만실비아 그녀 입으로 안전하다고 해주었으니 노콘 섹스는 확정이되어버렸고, 이번엔 찬스를 놓치지 않은 잭이 바로 실비아의 안을채워넣었다. 먼젓번보다 굵은 자지가 들어와 조금 아팠지만, 소질이 있었는지 실비아는 점차 기분이 좋아지기 시작했다. 간질간질하면서도 짜릿한 감각. 이것이 섹스인가..? 여태 어떤 이물도 받아들이지 않았던 성기에 남성의 생식기가들어와 있다는 꽉찬 느낌과 그녀의 몸으로 직접 전해지는 체온.그리고 질벽을 긁어내는 오르가즘이 그녀를 헐떡이게 했다.어느새 스스로 인텔리를 자부하던 실비아는 쾌락에 못이겨 짐승같은 신음소리를 내기 시작했고 방안의 모두를 흥분시키고분위기를 뜨겁게 달궜다. 이불을 꽉 움켜쥐며 쾌감을 표출하던 실비아를 보며 스스로 자지를 문지르던 찰스가 실비아의 얼굴 앞에 잔뜩 성난 자지를 들이밀자, 실비아는 망설임 없이 그것을 입에 넣었고 네명이 모두 꿈에서나 그리던 DP가 완성됐다. 덕분에 넣자마자 무진동 사정을 이룩했던 해리도 완전 부활하여 차례를 기다리며 자지를 만지작 거리기 시작했다. 한창때 남녀의 땀냄새, 체온덕에 상승한 주변 온도와 음란한 소리, 감도는 비릿한 체액의 향은 육욕의 축제를 고스란히 드러냈고네 사람은 오로지 본능에 충실하며 쾌락만을 위해 몸을 움직였다.잭은 질 내에, 해리는 등에, 찰스는 실비아의 입 안에 각각사정했고 실비아는 온 몸에 정액이 흩뿌려지는 것 같은 느낌을 받으며 리미터 이상의 쾌락에 정신을 잃을 뻔 했다.벌써 열번 이상이나 절정에 달한 실비아는 자신의 체력이 정말문제가 있다고 생각하며 숨을 고르고 있었지만, 세명이나 되는남자들은 그녀를 쉬게 두지 않을 작정인 것 같았다. ""하, 매너 없는 너드들 같으니..""""실비아 네가 너무 여신같아서 어쩔 수 없어.""""맞아, 우리한텐 너가 최고야.""""...머리 풀린 것 같은 데 한번만 더 묶어주면 안돼?""실비아는 배시시 미소지었다.이 모지리 녀석들의 여신이 되어주려면, 좀 더 힘내야겠지..?===========================================기집이 편이랑 론리편은 아직..",[],https://arca.live/b/counterside/31797336,2021-08-11T12:53:44.000Z,1000,19
