index,user,title,content,comment,link,date,view,rate,comment_count
41399650,클린유저,보조챌 2쫄작덱 드디어 만들었네,한 시간 동안 빡집중 했네,,https://arca.live/b/counterside/41399650,2021-12-29 23:58:26,7,0,0
41399643,경구,울지 않은 너를 위해,콘테스트 참가합니다. 일섭에 각우를 전파하도록 하겠어[ 픽시브 링크 ],"[{'user': '야고#66742541', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41399643,2021-12-29 23:58:17,13,2,1
41399560,비질란테,닥등이 임신 시키고 싶다,ㄹㅇ,,https://arca.live/b/counterside/41399560,2021-12-29 23:56:57,26,0,0
41399526,gkdhkdhk,1년정도 묵은 리세계 근황,각성캐 확정권 겟또 ㅋㅋ,"[{'user': 'kimjino#87804663', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41399526,2021-12-29 23:56:17,38,3,1
41399469,여린,로자 딜 쌔다,물몸만 아니였어도,"[{'user': '네모네모', 'comment': '최피제가 생겨서 멸망해서그렇지\n사실 물몸인게 문제는 아니라고생각함'}, {'user': '여린', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41399469,2021-12-29 23:55:36,29,0,2
41399464,한우쟝,솔직히 씹덕 겜들 여캐 스킨은,"계절 다 무시하고섹시한 비키니로만 내면 무조건 팔림교복이니 드레스니 이것저것복잡하게 디자인하고 고민할 필요없이비키니나 슬링샷, 아니면 수영복이면 다 팔림유저도 제작사도 모두 만족하는 스킨","[{'user': '왕소라', 'comment': '(emoticon)'}, {'user': '블루아카이브', 'comment': '(emoticon)'}, {'user': '이리스유마', 'comment': '깡박이로군'}, {'user': '한우쟝', 'comment': '깡박이로군'}, {'user': '상자새끼', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41399464,2021-12-29 23:55:31,38,2,5
41399393,시그마져아,시험기간에도 낮에는 기본숙제 했는데,이벤트 몰아보기때문에 빡쳐서 건포는 고사하고 지금에야 모작도네 시벌겜이래도 씩씩거리면서 숙제만 돌려놓고 꺼야지 하는 병신 개돼지니까 저새끼들이 배짱부리는거겠지만...,"[{'user': '블루아카이브', 'comment': ""저새끼들이 '저희가 미로의 끝가지고 좆같이 굴어서 죄송합니다'하는 날이 올까...""}, {'user': '시그마져아', 'comment': ""저새끼들이 '저희가 미로의 끝가지고 좆같이 굴어서 죄송합니다'하는 날이 올까...""}, {'user': '왕소라', 'comment': '(emoticon)'}, {'user': '시그마져아', 'comment': '(emoticon)'}, {'user': '푸별', 'comment': '이벤트 몰아보기는 뭔데?'}, {'user': '시그마져아', 'comment': '이벤트스토리들 릴레이로 푼다고 상점은 통합상점으로. 근데 미로의 끝은 없음 이 개새끼들 스포없이 직접 보고싶어서 기다린 사람 1년가까이 엿쳐먹여놓고서'}]",https://arca.live/b/counterside/41399393,2021-12-29 23:54:30,40,1,5
41399316,스튜비급강하폭격기,아 시발 뭔글 쓸려했는데 까먹음,아 개좆같네,"[{'user': '상자새끼', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#81071525', 'comment': '(emoticon)'}, {'user': '네모네모', 'comment': '(emoticon)'}, {'user': '왕소라', 'comment': '게이게이야...'}, {'user': '겨누스야드랑이', 'comment': '치매게이야..'}, {'user': '블루아카이브', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41399316,2021-12-29 23:53:26,44,0,6
41399218,왕소라,내 모든 이터를 방어구챌에 꼬라박는다,아 맞다 정보챌이랑 외전도 해야지,"[{'user': '상자새끼', 'comment': '(emoticon)'}, {'user': '왕소라', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41399218,2021-12-29 23:51:40,39,1,2
41399193,역시난,길티캐들 인게임 보이스도 바뀐다,나름 정성 들이긴 했네,"[{'user': '독호메', 'comment': '지금 일부 적용일거임'}, {'user': '역시난', 'comment': '(emoticon)'}, {'user': '컨섹', 'comment': '밀리아 궁 음질 존나 깨짐 지금'}, {'user': '역시난', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41399193,2021-12-29 23:51:18,60,0,4
41399187,클러스트,밸런스가 진짜 개판인게,"백스텝 레인저를 조지는 후열 점프 스트라이커와 함께 나온 스충,공속 33퍼 감소, 체력 낮아지면 백스텝 1회, 스트라이커 생성하는 5코 레인저와 상성 좆까고 다 태워버리는 레인저에게 살아남으려고 최대피해제한을 추가하고서 반병신 되어버린 로자리아 야누스가 사라지자 날뛰는 스트라이커를 싹 죽이는 퀸이 나오고서 혼란을 거는 6코 스나이퍼후에 백스텝, 배리어 파괴, 5.2계수의 특수기를 가지고 나온 한정 3코 레인저와 함께 체력회복, 디버프 면역을 들고있는 오퍼와 함께 날뛰는 대적자후에 상향되어 타격수 좆까고 다 부수는 노예새끼까지 다 죽이는 버프제거 오퍼레이터 출시후에 핵으로 다 지워버리는 미친깡통와 함선에 처박혀서 맵의 70퍼를 장악하는 미친 타워다이나믹하노","[{'user': 'kimjino#87804663', 'comment': '올해 미니스트라 나유빈에 꼽앗는데 더한 우한린이 나올줄상상못함ㅋㅋ'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '(emoticon)'}, {'user': '꿀통뺏긴푸', 'comment': '깡통 다음에 세리나 출시였을껄?'}, {'user': '클러스트', 'comment': '(emoticon)'}, {'user': '혼란스런뉴비#53327622', 'comment': '이렇게 보니까 어질어질하다'}, {'user': '블루아카이브', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ, 121.179', 'comment': '이게 스나이퍼란 좆사기 애미뒤진 클래스를 겜 초창기부터 밀고나간 밸런스다 ㅋㅋ'}, {'user': 'ㅇㅇ#86528953', 'comment': 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 돌아버리겠네'}]",https://arca.live/b/counterside/41399187,2021-12-29 23:51:14,102,9,7
