index,user,title,content,comment,link,date,view,rate,comment_count
42880306,이볼브,아니 메카노 왤캐 재밌어,시간 가는줄도 모르고 했네 벌써 저녁 5시네 ㄷㄷ;;;1시간 지부 돌려놓고 지금 몇시간동안 방치해놔서 지부 손실 오지게 났다.. ,,https://arca.live/b/counterside/42880306,2022-01-21 17:16:55,1,0,0
42880300,누소,착한 힐돌이가 가요~,,,https://arca.live/b/counterside/42880300,2022-01-21 17:16:52,3,0,0
42880278,ㅇㅇ#86198898,입대하기 전에 헌법 보지마라,"거기에 명시된 거의 모든 기본권을 박탈하는 것이 징집이라 알고가면 개좆같음남성 독박징병이 왜 합헌인지, 군가산점이 왜 위헌인지 알고가면 더욱 좆같음",,https://arca.live/b/counterside/42880278,2022-01-21 17:16:37,13,0,0
42880265,ㅇㅇ#68293546,병때쓰던 총기번호는 아직도 생각나는데,"훈련소 k2, 자대k1, k2c1총기번호 다 기억나는데임관하고 나서 썻던 부교대 k2는 기억이 안난다","[{'user': '뭐요왜요', 'comment': '(emoticon)'}, {'user': '눈꽃1', 'comment': '임관..?'}]",https://arca.live/b/counterside/42880265,2022-01-21 17:16:26,13,0,1
42880237,똥겜전문가#24615918,서윤 볼륨감 뭐냐,이년 가슴이 이렇게 웅장햇나,"[{'user': '무야홍어', 'comment': '(emoticon)'}, {'user': 'diwnd#47764404', 'comment': '점점 커지냐'}, {'user': 'ㅇㅇㅇㅇㅇ#37792104', 'comment': '뭐임? 2주년 특별스킨임?'}]",https://arca.live/b/counterside/42880237,2022-01-21 17:16:08,25,0,2
42880218,diwnd#47764404,올해는 예비군 빼박 하겠지?,올해만 잘 넘기면 동원 한번도 안 받고 동미참으로 빠질 수 있는데,"[{'user': '무야홍어', 'comment': '저어는 그런거안하고 민방위해요'}, {'user': '폴리네시아', 'comment': '빼박 안함'}, {'user': '뭐요왜요', 'comment': '빼박 취소임'}]",https://arca.live/b/counterside/42880218,2022-01-21 17:15:45,27,0,2
42880213,무야홍어,군번끝 4자리 맨날비밀번호로쓰다보니,기억이안날수가없음,,https://arca.live/b/counterside/42880213,2022-01-21 17:15:41,14,0,0
42880204,ngcn,레지나 요리못하는거 ,공식아니지?,,https://arca.live/b/counterside/42880204,2022-01-21 17:15:33,8,0,0
42880202,퀸덤,근데사실 군머떡밥 극혐이라면서 조회수랑 댓글수보면 ,ptsd란 역시 ,"[{'user': '눈꽃1', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42880202,2022-01-21 17:15:33,23,0,1
42880189,Aoi,나만 방금 알림종 작아짐?,또바뀐거야?오른쪽 위 닉 왼쪽에,"[{'user': '카늒네', 'comment': '나도 작아졌어'}, {'user': '카늒네', 'comment': '(emoticon)'}, {'user': '비질란테', 'comment': '존나 작아졌네'}, {'user': 'Aoi', 'comment': '왜 자꾸 뭐가 바뀐대'}]",https://arca.live/b/counterside/42880189,2022-01-21 17:15:21,27,0,2
42880181,윙수스,제이크가 디펜이면 뭘 달고 나오려나,힐데정도의 성능이면 망할텐데아니지 망하는게 아니라 상향해서 각우처럼 될려나..킹깡공급은 돼야 각성 디펜더라고 할 수 있지디펜더가 주도하는 카운터사이드,"[{'user': '유동탄압할때만로그인함', 'comment': '호라이즌상위로 나올듯'}, {'user': '윙수스', 'comment': '밀어내면서 전열붕괴도 괜찮을듯'}, {'user': '뭐요왜요', 'comment': '힐데도 디펜층에선 개단단한거임 레인저가 ㅈㄴ쌘거지'}, {'user': 'ngcn', 'comment': '출격시 넉백 특수기 스턴 니가와호위무사'}, {'user': 'GLA', 'comment': '인식범위 내 타워에게 쿨타임 없는 슈퍼히어로랜딩'}]",https://arca.live/b/counterside/42880181,2022-01-21 17:15:16,31,0,4
42880173,폴리네시아,소신)군번총번 까먹으면 군대 다시가야,,"[{'user': '카늒네', 'comment': '(emoticon)'}, {'user': '눈꽃1', 'comment': '(emoticon)'}, {'user': '유나사랑해#74442742', 'comment': '민방위면 까먹을만하잖아'}, {'user': '폴리네시아', 'comment': '민방위면 입영나이컷이라 아예 입대가 안되고'}, {'user': '역린#17405198', 'comment': '754198 허허'}]",https://arca.live/b/counterside/42880173,2022-01-21 17:15:07,54,0,5
42880172,굼바#33164874,모두들 나를 [단죄의 쇠꼬챙이]라고 불러주지 않을래?,카린이 드디어 리벳 교환했어,"[{'user': 'ㅇㅇ#81020245', 'comment': '물론이지 단죄의 쇠꼬챙이'}, {'user': '굼바#33164874', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42880172,2022-01-21 17:15:06,16,1,2
42880171,젖탱이,진짜 진짜 복커할까,저번에도 한번 카솝했다가 분탕갓겜 못 버텼는데쇼케 한번 스킵 갈기면서 보는 중에 제이나 빨통스킨인지 뭔지 보니깐 존나 꼴리네각성에미까지 뽑고 길티 콜라보? 땐가 접었었는데 다시 따라갈 생각하면 귀찮기도 하고,"[{'user': 'Maximin', 'comment': '(emoticon)'}, {'user': '소나기나기', 'comment': '일단 복귀만해서 보상이라도 받아가'}, {'user': '역린#17405198', 'comment': '출첵만하등가'}]",https://arca.live/b/counterside/42880171,2022-01-21 17:15:05,24,0,2
42880170,뭐요왜요,나는 쥬스그런것보다 시발놈의 나랑드가 많이옴,ㄹㅇ 훈련갈때 쟁여놔도 안줄어 ㅋㅋㅋ,,https://arca.live/b/counterside/42880170,2022-01-21 17:15:05,10,0,0
42880127,샌디치크스,카린양 카린양,그거맞음순불 만화에 가은이가 선생님 선생님하는거,"[{'user': '학점대폭발', 'comment': '(emoticon)'}, {'user': '뱅레이', 'comment': '시영양 시영양 ㅇㄷ'}]",https://arca.live/b/counterside/42880127,2022-01-21 17:14:31,30,4,2
42880120,유나사랑해#74442742,전역 하면 진짜 까먹깅하는데,요샌 군번도 가물가물함,"[{'user': '눈꽃1', 'comment': '군번은 지금도 기억하는데 총기번호는 가물가물함'}, {'user': '푸별', 'comment': '군번 총번은 평생 안 잃어버릴꺼같은데'}, {'user': '유나사랑해#74442742', 'comment': '참새라 평소엔 총을 총기보관함에만 넣어두고 분기사격때만 꺼내가지고...'}, {'user': '푸별', 'comment': '그럼 그럴수있겟다'}]",https://arca.live/b/counterside/42880120,2022-01-21 17:14:13,34,0,4
42880114,djdojo,굳이 군머 안가도 나이차이 많은 형이랑 같은 방을 쓰면 뽀글이 먹어 볼 수 있음,솔직히 신라면은 냄비에 넣고 끓이는 것보단뽀글이쪽이 그나마 더 나은 거 같음,"[{'user': '푸별', 'comment': '그걸 사회에서 왜 먹음'}, {'user': 'djdojo', 'comment': '그당시 직업훈련소?폴리텍대학 기숙사에서 가스렌지가 없었고\n버너도 못 쓰게 해서 있는 거 라곤 정수기 말곤 없으니 결국 해먹어버렸지 뭐야'}, {'user': '푸별', 'comment': '옛날 맛이 안남 없을때 먹으니 맛있는거지 그리고 환경호르몬 이야기 들으니깐 입맛 떨어짐 요샌 비닐에서 검출 안된다고 해도 불안함'}]",https://arca.live/b/counterside/42880114,2022-01-21 17:14:08,26,0,2
42880104,ㅇㅇ#35458601,이벤트맵 어렵네,베로니카이벤트 보통은 다 3별했는데민병대는 보통 3별작도 못하겠네 성냥쉨 존나쎔,"[{'user': '누소', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42880104,2022-01-21 17:14:00,20,0,1
42880068,뭐요왜요,나 아직도 총번기억남,훈련소 동기놈 총기번호 못외웠다고 훈련소에서 개쿠사리 먹은거 현장직관해서 안외울수가 없음 ㅅㅂ ㅋㅋ,,https://arca.live/b/counterside/42880068,2022-01-21 17:13:16,27,0,0
42880064,"ㅇㅇ, 175.121",미필 거르는 방법,자대에서 제일 많이 부른 군가는? ㄹㅇ.. 딱 하나밖에 없지 않음?,"[{'user': 'diwnd#47764404', 'comment': '전우'}, {'user': '니퍼#38747506', 'comment': '멸공의 횃불'}, {'user': '솔라스', 'comment': '푸른소나무'}, {'user': '뭐요왜요', 'comment': '난 ㅅㅂ 선임들이 갑자기 시키던데 아침구보때 ㅋㅋㅋ 안외울수가 없었음'}, {'user': '무야홍어', 'comment': '사단가'}, {'user': '고장난지능', 'comment': '보통 전투체육때 뜀걸음하면서 군가 돌려가면서 메들리로 부르지않냐 ㅋㅋ'}, {'user': 'ㅇㅇ#68293546', 'comment': '앵카송'}, {'user': '눈꽃1', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42880064,2022-01-21 17:13:13,91,0,8
42880062,ㅐㄴ,군가 까먹을수는 있음,근데 첫 한소절 들려주면 바로 기억남ㅋㅋ,,https://arca.live/b/counterside/42880062,2022-01-21 17:13:10,15,0,0
42880060,직무유기,각성 후라이드 템 어캐줌?,스충임 공속임? pve랑 pvp 다르게 씀?,"[{'user': '눈꽃1', 'comment': 'pvp는 메공속 부옵 스커피 디피 좋아보이더라'}, {'user': 'djdojo', 'comment': 'pvp 메스충\npve 메공속'}]",https://arca.live/b/counterside/42880060,2022-01-21 17:13:09,27,0,2
42880044,겨울동화샤오린#99311481,사요 이쁘다,저머리에 얼굴 비비고싶다,"[{'user': '솔라스', 'comment': '(emoticon)'}, {'user': '누소', 'comment': '(emoticon)'}, {'user': 'zkamcc', 'comment': '솔직히 뱅드림은 핼로해피월드가 제일 꼴림'}, {'user': '겨울동화샤오린#99311481', 'comment': '(emoticon)'}, {'user': 'Aoi', 'comment': '(emoticon)'}, {'user': 'ngcn', 'comment': '유키나지 뱅알못'}, {'user': '겨울동화샤오린#99311481', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42880044,2022-01-21 17:12:51,52,0,7
42880035,무야홍어,솔직히 맛스타안먹어봤으면 좀그래,군필이면 맛스타는 무야지,"[{'user': '누소', 'comment': '(emoticon)'}, {'user': '늒네#86893131', 'comment': '맛스타 없어지고 생생가득으로 바꼈어 틀딱아'}, {'user': '무야홍어', 'comment': '생생가득도 사라짐 틀딱아'}, {'user': '늒네#86893131', 'comment': '(emoticon)'}, {'user': '무야홍어', 'comment': '(emoticon)'}, {'user': '뭐요왜요', 'comment': '할배요'}]",https://arca.live/b/counterside/42880035,2022-01-21 17:12:41,51,0,6
42880034,촤드,아 갑자기 군떡밥이노,,"[{'user': 'zkamcc', 'comment': '(emoticon)'}, {'user': '미야', 'comment': '(emoticon)'}, {'user': '유나사랑해#74442742', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42880034,2022-01-21 17:12:40,40,0,3
