index,user,title,content,comment,link,date,view,rate,comment_count
42060495,블루아카이브,ㄹㅇ 스킨은 나오는애들은 자주나옴,매출이 엄청 차이나나봐,"[{'user': 'ㅇㅇ#83721190', 'comment': '부정할래도 어쩔수 없는 사실이긴함'}]",https://arca.live/b/counterside/42060495,2022-01-08 23:57:27,23,0,1
42060481,하빌밀런,2주년 유저 타노스 되는 법,2주년 스킨 으로 서로 말한 캐릭터 안나오면 카바하기로 한 카붕이들공익 ts 스킨 출시로 카챈의 대다수 카붕이들이 사라지고 말았다!,"[{'user': 'ㅇㅇ#83721190', 'comment': '(emoticon)'}, {'user': '하빌밀런', 'comment': '(emoticon)'}, {'user': 'Artcore', 'comment': '대적자의 건틀릿'}, {'user': '하빌밀런', 'comment': '진짜로 조용하게 만들어버림'}]",https://arca.live/b/counterside/42060481,2022-01-08 23:57:04,31,0,4
42060456,숲토끼,요즘은 100렙짜리 애들 풀융합시키는 재미가 있는듯,뭔가 미뤄둔 일 이제서야 정리하는 느낌이여서 기분 좋음,"[{'user': 'Artcore', 'comment': '(emoticon)'}, {'user': '숲토끼', 'comment': '(emoticon)'}, {'user': '충혹마', 'comment': '도감쿼츠 500배'}]",https://arca.live/b/counterside/42060456,2022-01-08 23:56:38,27,0,3
42060419,kimjino#87804663,뉴비함선추천받음,저거셋하고 엔터프라이즈 항모타임남았는데 뭐만들까?,"[{'user': 'Artcore', 'comment': '레이크 ㄱㄱㄱㄱㄱ'}, {'user': 'kimjino#87804663', 'comment': '스테이크?ok'}, {'user': '충혹마', 'comment': '알비온으로 방어구챌 돌자구요'}]",https://arca.live/b/counterside/42060419,2022-01-08 23:55:52,28,1,3
42060412,카챈용계정,요즘 카바글 보면 지친것 보다는 자연사가 많네,자연사하는 글 보면서 게임이 아직 살아있긴 하는구나 싶더라 ㅋㅋ... 유입이 있어야 뭔가 순환이 될텐데 유입이 되는지는 몰?루겠고,"[{'user': '독호메', 'comment': '지친게 보통 자연사 아닌가. 현생 살러 가는거=자연사?'}]",https://arca.live/b/counterside/42060412,2022-01-08 23:55:41,34,0,1
42060374,샌디치크스,낙서 두우개,배신자랑 이지수하나만 아주 빠르게 하려했으나 두 개 해왔읍니다,"[{'user': 'Artcore', 'comment': '배신자가 아니라 여신님'}, {'user': '카늒네', 'comment': '(emoticon)'}, {'user': 'Artcore', 'comment': '(emoticon)'}, {'user': '하빌밀런', 'comment': '(emoticon)'}, {'user': '카늒네', 'comment': '(emoticon)'}, {'user': '나도줘#28169842', 'comment': '(emoticon)'}, {'user': '독호메', 'comment': '오...'}, {'user': '눈꽃1', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#83721190', 'comment': '창작탭 붙여조'}]",https://arca.live/b/counterside/42060374,2022-01-08 23:54:57,39,6,8
42060250,전기람쥐추,이번 2주년은 스킨 안받은 애들 위주로 해줬음 좋겠음,여러번 받은 적폐들은 그냥 좀 참아줬음 좋겠다,"[{'user': '충혹마', 'comment': '샤오린 500배'}, {'user': '전기람쥐추', 'comment': '카바'}, {'user': 'Artcore', 'comment': '각우 웨딩스킨 기원 ㅋㅋ'}, {'user': '전기람쥐추', 'comment': '(emoticon)'}, {'user': '블루아카이브', 'comment': '응 대가리깨져도 샤오린 가은 힐데 미나링이야'}, {'user': '전기람쥐추', 'comment': '카바 월정액도 다 끝나감'}, {'user': '블루아카이브', 'comment': '(emoticon)'}, {'user': 'kimjino#87804663', 'comment': '스킨있는얘들 또 사는것도 스트레스 좀받음..'}, {'user': '전기람쥐추', 'comment': '이거 맏다'}, {'user': '하빌밀런', 'comment': '스킨 있으니 저리가'}, {'user': '전기람쥐추', 'comment': '스킨 있으니 저리가'}, {'user': '하빌밀런', 'comment': '각시윤은 없다!'}, {'user': '전기람쥐추', 'comment': '그럼 공익'}, {'user': '하빌밀런', 'comment': '그럼 공익'}, {'user': '전기람쥐추', 'comment': '(emoticon)'}, {'user': '카늒네', 'comment': '이번 스킨은 호라이즌이 접수한다 수구..'}, {'user': '전기람쥐추', 'comment': '(emoticon)'}, {'user': 'Starrk#72468956', 'comment': '(emoticon)'}, {'user': '전기람쥐추', 'comment': '(emoticon)'}, {'user': '밀르스', 'comment': '솔직히 공익이나 각시윤은 나와야지'}, {'user': '전기람쥐추', 'comment': '(emoticon)'}, {'user': 'eclipse_p', 'comment': '각수연 스킨 나오면 좋겠다'}, {'user': '전기람쥐추', 'comment': '(emoticon)'}, {'user': '여린', 'comment': '(emoticon)'}, {'user': '전기람쥐추', 'comment': '(emoticon)'}, {'user': '응애나추룡아가', 'comment': '개운이꺼야'}, {'user': '응애나추룡아가', 'comment': '(emoticon)'}, {'user': '전기람쥐추', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42060250,2022-01-08 23:52:37,115,0,28
42060219,블루아카이브,월정액 기간 다되가는데,안사도 될거같음,"[{'user': 'Artcore', 'comment': '(emoticon)'}, {'user': 'kimjino#87804663', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#79506004', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42060219,2022-01-08 23:52:11,41,0,3
42060159,레드라이더,개인적으로 리그전 큐돌려서하는경우,세기말에 랭크전 주차해놓고 강등전까지 퍼줘서 더는 못하는 상태에서전략전 돌리는거 까먹은거때문에 티켓으로 건포는 다못빼는데 건포빼고싶을때 리그전 가서 대충 밴픽하고 즐겜한판해서 건포먹는 용도,,https://arca.live/b/counterside/42060159,2022-01-08 23:51:20,22,1,0
42060156,충혹마,2주년스킨은 카운터사이드가 2주년을 맞아할수 있게 한 원동력,에이미 밀리아 샤오린이 받을것,"[{'user': '무적그랜저', 'comment': '주화 존버간다'}, {'user': '나도줘#28169842', 'comment': '2주년땐 돈안들겟노ㅋㅋ'}]",https://arca.live/b/counterside/42060156,2022-01-08 23:51:16,58,0,2
