index,user,title,content,comment,link,date,view,rate,comment_count
41601715,ㅇㅇ#47477551,왜돌렸지,10분전으로 시간을돌리고싶다,"[{'user': '잉딩', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41601715,2022-01-01 23:43:53,2,0,1
41601687,qwetryui#18173577,이겜을 일년넘게 했는데 ,무기챌도 못깨는거보니 너무 한심해,"[{'user': 'kimjino#87804663', 'comment': '나도올해 2월달에시작햇는데 무기챌마지막도못깸ㅋㅋ'}, {'user': '방연#60601907', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41601687,2022-01-01 23:43:26,17,-1,0
41601670,starseeker,스카이림 재밌다고 해서 하고 있는데,리버우드 마을에 힐데라는 노망난 할머니 계시네,,https://arca.live/b/counterside/41601670,2022-01-01 23:43:08,13,0,0
41601642,화선,카사챈할때 콘 다섯개만 잇어도 되는듯,,"[{'user': '잉딩', 'comment': '건모 메모..'}, {'user': 'Artcore', 'comment': '(emoticon)'}, {'user': '늒네#86893131', 'comment': '(emoticon)'}, {'user': '중국몽죄인', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41601642,2022-01-01 23:42:35,31,0,4
41601596,술과고기,대충 금태에게 12500 쿼츠의 손해 어쩌고,대충 손해끼쳤다는 내용쥐도새도 모르게 지나갔던 1주년앞으로도 잘 부탁한다 카붕이들아,"[{'user': 'Artcore', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#64962009', 'comment': '(emoticon)'}, {'user': '폭사전용계정', 'comment': '(emoticon)'}, {'user': '분노', 'comment': '(emoticon)'}, {'user': 'kimjino#87804663', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41601596,2022-01-01 23:41:43,32,5,5
41601546,미래전략실,크레딧 걱정 없이 살고 싶다,오랜 생각이다,"[{'user': 'Artcore', 'comment': '(emoticon)'}, {'user': '매맞는아내', 'comment': '(emoticon)'}, {'user': '늒네#86893131', 'comment': '(emoticon)'}, {'user': '늒네#86893131', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/41601546,2022-01-01 23:40:50,29,0,2
41601544,Ninomiya,오,쌌다,,https://arca.live/b/counterside/41601544,2022-01-01 23:40:48,16,0,0
41601482,상점누나가좋아#52539577,애니오프닝 보다보면 욕나옴,할배시대때 정규방송 여캐 알몸 그냥 보여주는데 우리 왜막아왜~~~~~~~,,https://arca.live/b/counterside/41601482,2022-01-01 23:39:43,31,0,0
41601479,ike#56986215,적성핵 융합핵으로 바꿔먹으니까 명함 개딸리네,명함 수급 어떻게하냐,"[{'user': '폭사전용계정', 'comment': '촉매제 보작을 돌렸다면 명함이 안딸렸을텐데...'}, {'user': '푸른수국화', 'comment': '적성핵-융합핵 하는 단계면 촉매제 돌리긴 해야지 뭐...'}]",https://arca.live/b/counterside/41601479,2022-01-01 23:39:35,24,0,2
41601471,폭사전용계정,누가 이짤로 가공좀해줘,섹스는 참아도 카사는 못참는걸루다가,"[{'user': 'Cacao#25953018', 'comment': '누구 맘대로 섹스를 참는데요 난 섹스할래요'}, {'user': '폭사전용계정', 'comment': '(emoticon)'}, {'user': '잉딩', 'comment': '같이..에펙....하자.......'}, {'user': '폭사전용계정', 'comment': '가끔하는데 너무어려워'}]",https://arca.live/b/counterside/41601471,2022-01-01 23:39:29,44,-1,4
